"Response","Question.Tag","Seven.Vital.Conditions","Sub.Condition","Tags","Location","Date","Facilitator","Note.Taker","AssignedCondition"
"minorities","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"minorities","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","United Way Youth Board",2019-05-15,"","","Belonging & Civic Muscle (B&CM)"
"minorities","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"not as open to diversity as other cities","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Brookdale Assisted Living Ceter",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"offer pacific islander native american languages in school","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Freedom from stigma, discrimination, oppression","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"overall we are seen as successful which means we can be blinded by privilege","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"pay gap for women versus men","Vulnerable groups in community?","Work & Financial Health (W&FH)","B&CM-Freedom from stigma, discrimination, oppression","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"people not accepting of people of color lgbtq other marginalized people","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"people of color","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"people who don t have typical nuclear family","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","United Way Youth Board",2019-05-16,"","","Belonging & Civic Muscle (B&CM)"
"people with higher education are doing better","Are we trending up or down?","Work & Financial Health (W&FH)","B&CM-Freedom from stigma, discrimination, oppression","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"poor peop e","Vulnerable groups in community?","Work & Financial Health (W&FH)","B&CM-Freedom from stigma, discrimination, oppression","","United Way Youth Board",2019-05-13,"","","Belonging & Civic Muscle (B&CM)"
"programs that promote diversity","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","North Shore",2019-05-13,"","","Belonging & Civic Muscle (B&CM)"
"provide grants to support small businesses","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Hmong Recorder Data",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"racism","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Boys & GirlsClub",2019-06-14,"","","Belonging & Civic Muscle (B&CM)"
"refugee population is vulnerable","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"respect of feelings when others are struggling","Barriers to community well-being?","Health & Safety (H&S)","B&CM-Freedom from stigma, discrimination, oppression","","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"school is inclusive have an lgbtq club at ka","Best part of living here?","Lifelong Learning (LL)","B&CM-Freedom from stigma, discrimination, oppression","","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"social media challenges causing stress and anxiety increase","Barriers to community well-being?","Health & Safety (H&S)","B&CM-Freedom from stigma, discrimination, oppression","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"sometimes the nice is superficial versus truly accepting","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"stigma around mental health","Barriers to community well-being?","Health & Safety (H&S)","B&CM-Freedom from stigma, discrimination, oppression","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"take away shame for needing help","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Freedom from stigma, discrimination, oppression","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"trend up or down really depends on the population you re talking about","Vulnerable groups in community?","Not Marked","B&CM-Freedom from stigma, discrimination, oppression","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"understanding diversity and inclusion","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Hmong Recorder Data",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"we have geographic pockets of wealth and poverty","Barriers to community well-being?","Work & Financial Health (W&FH)","B&CM-Freedom from stigma, discrimination, oppression","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"wi is the worst state to live in if you are a person of color to complete education","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Freedom from stigma, discrimination, oppression","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"lots of opportunity to help people succeed lots of nonprofits mjsd stepping up program","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Belonging & Civic Muscle (B&CM)"
"students can be engaged help clean up plant trees","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Belonging & Civic Muscle (B&CM)"
"community is generous","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Belonging & Civic Muscle (B&CM)"
"community is generous","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Belonging & Civic Muscle (B&CM)"
"institutions that bring people together eg public library","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"non props are very collaborative","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"strong philanthropic","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"trending up amount of support programs habitat salvation army","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"vast resources for those in need","Best part of living here?","Health & Safety (H&S)","B&CM-Non-profit organizations","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"culture of volunteering how would community work without people s extra time","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"generous philanthropy","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"lot of different activities can find something somewhere","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"it is easy to get involved","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","St. Mary Central",2019-04-24,"Jack Loken & Mya Gruett","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"collaboration and better communication amongst non profits","Summary","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Thrivent",2019-03-19,"Jason Schulist","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"community foundation","Best part of living here?","Not Marked","B&CM-Non-profit organizations","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"generous","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Thrivent",2019-01-07,"Jason Schulist","Stacy Wegley","Belonging & Civic Muscle (B&CM)"
"resources provided by non profits we are a helpful area people want to help","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Thrivent",2019-03-19,"Jason Schulist","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"we have so many non profits that are not connected they could help more if they worked together there needs to be a platform to communicate to other non profits","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Thrivent",2019-03-19,"Jason Schulist","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"high school require volunteer work each year to pass to the next year minimum 35 hours","Ideas for Innovation","Not Marked","B&CM-Non-profit organizations","","KC Neenah",2019-05-28,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"lot of social services are willing to collaborate to solve issues vs siloed ie pillars","""Well Being"" brings to mind?","Not Marked","B&CM-Non-profit organizations","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"people are willing to help each other and volunteer","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Prince of Peace Church",2019-05-30,"Jeff Hunter","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"big brothers big sisters is really helpful and can make a difference","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"generous people with their time and money","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"lots of resources","Best part of living here?","Health & Safety (H&S)","B&CM-Non-profit organizations","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"make volunteering mandatory for all students","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"people are generous giving supportive forward thinking","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"resource rich community resources area many of which are centrally located","""Well Being"" brings to mind?","Not Marked","B&CM-Non-profit organizations","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"resource rich in bigger cities","Best part of living here?","Healthy Environment (HE)","B&CM-Non-profit organizations","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"resources","""Well Being"" brings to mind?","Healthy Environment (HE)","B&CM-Non-profit organizations","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"sense of generosity","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"social engagement","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"strong nonprofit community","Best part of living here?","Health & Safety (H&S)","B&CM-Non-profit organizations","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"a lot of community resources available","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"generous community","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"lots of social support services but people don t know about them","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"strong community especially in the non profit world","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"dignity respect campaign is active","Are we trending up or down?","Not Marked","B&CM-Non-profit organizations","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Belonging & Civic Muscle (B&CM)"
"impact of adverse childhood experiences aces","Are we trending up or down?","Health & Safety (H&S)","B&CM-Non-profit organizations","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Belonging & Civic Muscle (B&CM)"
"outreach of churches schools into community","Are we trending up or down?","Not Marked","B&CM-Non-profit organizations","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Belonging & Civic Muscle (B&CM)"
"access to basic needs","Best part of living here?","Work & Financial Health (W&FH)","B&CM-Non-profit organizations","","APL - Congolese",2019-06-08,"Karen Nelson","Tami McLaughlin","Belonging & Civic Muscle (B&CM)"
"a community of giving","Ideas for Innovation","Not Marked","B&CM-Non-profit organizations","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"high degree of volunteerism and generosity of community at all levels plus community foundation","Best part of living here?","Not Marked","B&CM-Non-profit organizations","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"encourage more volunteerism","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Belonging & Civic Muscle (B&CM)"
"support organizations suicide prevention nami","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Belonging & Civic Muscle (B&CM)"
"it varies depending on the community there are a lot of close resources readily available in appleton but in other areas like oshkosh or neenah menasha it seems more limited","Best part of living here?","Health & Safety (H&S)","B&CM-Non-profit organizations","","Fox Valley Technical College - Students",2019-05-08,"Melissa Christman","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"some cultures don t believe in using the help services may go unused","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Fox Valley Technical College - Students",2019-05-08,"Melissa Christman","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"bring services to businesses that schools now provide ideas of wellbeing how people learn and work","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","community centers","United Way Fox Cities",2019-02-27,"Mike Sandercock","Penny Robinson","Belonging & Civic Muscle (B&CM)"
"a lot of systems to support individuals and families who may be in need","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Thrivent",2018-12-03,"Monte","Stacy","Belonging & Civic Muscle (B&CM)"
"institutions we can point to the way they engage people i e ymca","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Thrivent",2018-12-03,"Monte","Stacy","Belonging & Civic Muscle (B&CM)"
"volunteerism","Best part of living here?","Not Marked","B&CM-Non-profit organizations","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"volunteerism","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"philanthropic","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"strong support structure ymca united way","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"variety of social programs","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"volunteerism much higher than other places","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"a large caring volunteer community","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"building for kids","Best part of living here?","Lifelong Learning (LL)","B&CM-Non-profit organizations","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"generous community organizations community foundation","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","community foundation","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Belonging & Civic Muscle (B&CM)"
"good community services pillar leaven nami salvation army","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","pillars leaven nami salvation army","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Belonging & Civic Muscle (B&CM)"
"human services work and outreach faith community and govt","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Neenah Public Library",2019-05-15,"Penny Robinson","Karen Flom","Belonging & Civic Muscle (B&CM)"
"overabundance of nonprofit resources to help and assist","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"overwhelmed families with all the resources available too many choices","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"social services that are offered leaven hundreds of wonderful ones salvation army","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"volunteerism","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"star program conitnue to support star","Ideas for Innovation","Not Marked","B&CM-Non-profit organizations","","Boys and Girls Club Fox Valley/STAR program",2019-06-12,"Rayon Brown","Lynn Coriano","Belonging & Civic Muscle (B&CM)"
"when you re new to the community hard to navigate where what the resources are no consistent way to get resources in an easy way no welcome center for black people","Barriers to community well-being?","Not Marked","B&CM-Non-profit organizations","","Boys and Girls Club Fox Valley/STAR program",2019-06-12,"Rayon Brown","Lynn Coriano","Belonging & Civic Muscle (B&CM)"
"point initiative getting to root causes continue the work to get to the grassroots jake s diapers basic hygiene as a barrier to well being initiatives that try to understand all contributing factors and support social entrepreneurship to address the issues community clothes closet as another example","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Thrivent",2019-02-28,"Schulist","Filapek","Belonging & Civic Muscle (B&CM)"
"access to organizations is lacking","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"agencies are offering prevention education","Vulnerable groups in community?","Not Marked","B&CM-Non-profit organizations","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"be willing to fund something on a trial basis versus something that has clear measures of success","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"collaborations with non profits and business","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"continue to invest in point scale to the region 16 counties in ne wisconsin continue to encourage collaboration and mergers of similarly missioned non profits to be more efficient and effective","Ideas for Innovation","Not Marked","B&CM-Non-profit organizations","bold idea","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"creation of an entrepreneurial fund big funds","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Non-profit organizations","","Fox Cities Greenways",2019-05-29,"","","Belonging & Civic Muscle (B&CM)"
"fox cities every employer mandatory to give 2 3 hours of community service","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Non-profit organizations","community service pledge like pro bono pledge","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"generous community","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"generous philanthropic leaders","Best part of living here?","Work & Financial Health (W&FH)","B&CM-Non-profit organizations","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"great organizations","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"higher wages for non profits","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Non-profit organizations","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"large network of non profits that are passionate for people","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"less volunteerism","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"lots of community involvement","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"people care high volunteerism","Best part of living here?","Work & Financial Health (W&FH)","B&CM-Non-profit organizations","","Fox Cities Greenways",2019-05-29,"","","Belonging & Civic Muscle (B&CM)"
"people come together for a cause","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"philanthropic","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"shelters for people who need them","Best part of living here?","Humane Housing (HH)","B&CM-Non-profit organizations","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"some children have access to very broad options others may not have resources or parental time or personal opportunities need to create access to the world and opportunities","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"wide variety of services","Best part of living here?","Healthy Environment (HE)","B&CM-Non-profit organizations","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"worse kids are les engaged no volunteering","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Non-profit organizations","","United Way Youth Board",2019-04-25,"","","Belonging & Civic Muscle (B&CM)"
"communication and coordination of resources no communication platform","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"different communities not working as well together","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"each community has it s own unique vision","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"engagement not equal between communities","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"menasha no strategic plan in the past","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Fox Cities Leaders",2019-07-15,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"parochial nature of this","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Fox Cities Leaders",2019-07-14,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"pass down optimism to generations need to guard against cynicism","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Fox Cities Leaders",2019-08-27,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"political situation divisive","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Fox Cities Leaders",2019-07-18,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"require publication of corporate donations and wealthy individuals","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Fox Cities Leaders",2019-07-18,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"require publication of corporate donations and wealthy individuals","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Fox Cities Leaders",2019-07-18,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"thoughtfulness on growth here and work at a system level","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Politics and partisan discourse","","Fox Cities Leaders",2019-09-03,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"people don t care","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Belonging & Civic Muscle (B&CM)"
"government police fire etc more unified","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"lot of municipalities in a small area can slow development","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"strong family values","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"strong family values","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
